date,cargo_tons,lag_1,lag_7,lag_14,lag_28,roll_mean_7,roll_std_7,roll_mean_30,pct_change_1,dayofweek,month,is_weekend
2025-08-16,26.97,0.0,0.0,0.0,0.0,26.97,0.0,26.97,0.0,5,8,1
2025-08-17,46.15,26.97,0.0,0.0,0.0,36.56,13.562308063157978,36.56,0.7111605487578792,6,8,1
2025-08-18,107.22,46.15,0.0,0.0,0.0,60.11333333333334,41.9075963678822,60.11333333333334,1.3232936078006503,0,8,0
2025-08-19,123.4,107.22,0.0,0.0,0.0,75.935,46.606133001283574,75.935,0.15090468196232054,1,8,0
2025-08-20,109.33,123.4,0.0,0.0,0.0,82.614,43.036541798801636,82.614,-0.1140194489465155,2,8,0
2025-08-21,97.13,109.33,0.0,0.0,0.0,85.03333333333333,38.94655551735823,85.03333333333333,-0.11158876795024242,3,8,0
2025-08-22,58.95,97.13,0.0,0.0,0.0,81.30714285714285,36.894714487889146,81.30714285714285,-0.39308143724904765,4,8,0
2025-08-23,23.57,58.95,26.97,0.0,0.0,80.82142857142857,37.7419326605353,74.09,-0.6001696352841391,5,8,1
2025-08-24,9.78,23.57,46.15,0.0,0.0,75.62571428571428,45.097171698878135,66.94444444444444,-0.5850657615613069,6,8,1
2025-08-25,78.03,9.78,107.22,0.0,0.0,71.45571428571428,42.98912415062785,68.053,6.978527607361964,0,8,0
2025-08-26,112.13,78.03,123.4,0.0,0.0,69.84571428571428,40.87874910722475,72.06,0.43701140586953735,1,8,0
2025-08-27,151.27,112.13,109.33,0.0,0.0,75.83714285714287,49.742767887833274,78.66083333333334,0.3490591277980917,2,8,0
2025-08-28,112.44,151.27,97.13,0.0,0.0,78.02428571428572,51.15166333468308,81.25923076923075,-0.2566933298076288,3,8,0
2025-08-29,59.16,112.44,58.95,0.0,0.0,78.05428571428571,51.13867188248793,79.68071428571429,-0.47385272145144075,4,8,0
2025-08-30,43.88,59.16,23.57,26.97,0.0,80.9557142857143,48.012843718163175,77.29400000000001,-0.2582826233941852,5,8,1
2025-08-31,76.03,43.88,9.78,46.15,0.0,90.41999999999999,36.88421161780019,77.215,0.732680036463081,6,8,1
2025-09-01,113.96,76.03,78.03,107.22,0.0,95.55285714285715,37.36947583000762,79.37647058823529,0.49888202025516226,0,9,0
2025-09-02,146.45,113.96,112.13,123.4,0.0,100.45571428571428,41.885394772379726,83.10277777777777,0.285100035100035,1,9,0
2025-09-03,161.0,146.45,151.27,109.33,0.0,101.84571428571428,43.96269625381002,87.20263157894736,0.09935131444178902,2,9,0
2025-09-04,132.72,161.0,112.44,97.13,0.0,104.74285714285715,45.42125152917068,89.4785,-0.17565217391304344,3,9,0
2025-09-05,111.92,132.72,59.16,58.95,0.0,112.27999999999999,40.73204185077558,90.54714285714286,-0.15672091621458706,4,9,0
2025-09-06,79.44,111.92,43.88,23.57,0.0,117.36,32.07765629427021,90.04227272727273,-0.2902072909220872,5,9,1
2025-09-07,93.62,79.44,76.03,9.78,0.0,119.87285714285714,28.82439286107383,90.19782608695652,0.17849949647532748,6,9,1
2025-09-08,124.78,93.62,113.96,78.03,0.0,121.41857142857143,28.744469861506367,91.63875,0.33283486434522525,0,9,0
2025-09-09,187.94,124.78,146.45,112.13,0.0,127.3457142857143,37.66093947188204,95.4908,0.5061708607148581,1,9,0
2025-09-10,208.97,187.94,161.0,151.27,0.0,134.19857142857143,47.80386958834032,99.85538461538461,0.11189741406831977,2,9,0
2025-09-11,142.02,208.97,132.72,112.44,0.0,135.52714285714288,47.88509257040432,101.41703703703705,-0.32038091592094553,3,9,0
2025-09-12,101.17,142.02,111.92,59.16,0.0,133.99142857142857,48.929370330634555,101.40821428571428,-0.28763554428953675,4,9,0
2025-09-13,71.8,101.17,79.44,43.88,26.97,132.9,50.411765491797645,100.38724137931034,-0.29030344963922117,5,9,1
2025-09-14,76.89,71.8,93.62,76.03,46.15,130.51,52.91863817849686,99.604,0.07089136490250691,6,9,1
2025-09-15,115.57,76.89,124.78,113.96,107.22,129.1942857142857,53.19860050074715,102.55733333333335,0.5030563142151123,0,9,0
2025-09-16,155.95,115.57,187.94,146.45,123.4,124.62428571428573,48.4753572643334,106.21733333333333,0.3493986328631997,1,9,0
2025-09-17,138.15,155.95,208.97,161.0,109.33,114.50714285714287,32.79077853822404,107.24833333333332,-0.11413914716255202,2,9,0
2025-09-18,106.68,138.15,142.02,132.72,97.13,109.45857142857142,30.488525944783074,106.691,-0.22779587404994572,3,9,0
2025-09-19,54.78,106.68,101.17,111.92,58.95,102.83142857142856,36.94796766110025,104.87266666666666,-0.48650168728908894,4,9,0
2025-09-20,38.68,54.78,71.8,79.44,23.57,98.10000000000001,43.179210275316464,102.92433333333334,-0.2939028842643301,5,9,1
2025-09-21,44.03,38.68,76.89,93.62,9.78,93.4057142857143,47.444900975462296,102.42699999999999,0.13831437435367122,6,9,1
2025-09-22,71.53,44.03,115.57,124.78,78.03,87.11428571428571,46.93315915822652,104.02566666666668,0.6245741539859186,0,9,0
2025-09-23,118.86,71.53,155.95,187.94,112.13,81.8157142857143,39.34725609117814,107.66166666666666,0.6616804138123864,1,9,0
2025-09-24,145.66,118.86,138.15,208.97,151.27,82.88857142857144,41.19814576271252,109.91599999999998,0.2254753491502608,2,9,0
2025-09-25,95.31,145.66,106.68,142.02,112.44,81.2642857142857,40.3185543958538,109.35533333333335,-0.34566799395853354,3,9,0
2025-09-26,56.13,95.31,54.78,101.17,59.16,81.45714285714287,40.173725955440716,106.184,-0.4110796348756689,4,9,0
2025-09-27,41.41,56.13,38.68,71.8,43.88,81.84714285714287,39.6996946731691,103.81633333333335,-0.2622483520399075,5,9,1
2025-09-28,51.29,41.41,44.03,76.89,76.03,82.88428571428571,38.62742456560394,103.554,0.23858971262979956,6,9,1
2025-09-29,94.32,51.29,71.53,115.57,113.96,86.14,38.47104019042542,105.23533333333333,0.8389549619808929,0,9,0
2025-09-30,132.82,94.32,118.86,155.95,146.45,88.13428571428571,40.74454845217239,107.12833333333333,0.40818490245971173,1,9,0
2025-10-01,178.7,132.82,145.66,138.15,161.0,92.85428571428572,49.49360458926073,109.28633333333332,0.3454299051347689,2,10,0
2025-10-02,157.38,178.7,95.31,106.68,132.72,101.72142857142856,55.23413058021623,109.65066666666667,-0.11930609960828198,3,10,0
2025-10-03,105.62,157.38,56.13,54.78,111.92,108.79142857142857,51.46452060354181,107.80466666666666,-0.32888550006354045,4,10,0
2025-10-04,86.37,105.62,41.41,38.68,79.44,115.21428571428571,43.903821343607746,106.25966666666666,-0.1822571482673736,5,10,1
2025-10-05,97.03,86.37,51.29,44.03,93.62,121.74857142857142,35.38066535485702,105.76333333333334,0.12342248465902506,6,10,1
2025-10-06,152.78,97.03,94.32,71.53,124.78,130.1,34.72066483618462,108.20800000000001,0.5745645676594868,0,10,0
2025-10-07,189.84,152.78,132.82,118.86,187.94,138.24571428571429,41.493268472987644,111.41533333333332,0.24257101714884155,1,10,0
2025-10-08,186.68,189.84,178.7,145.66,208.97,139.38571428571427,42.8765312096423,113.47866666666667,-0.016645596291613995,2,10,0
2025-10-09,165.02,186.68,157.38,95.31,142.02,140.47714285714284,43.50357330698471,112.71466666666667,-0.11602742661238485,3,10,0
2025-10-10,107.39,165.02,105.62,56.13,101.17,140.73000000000002,43.27173134198972,109.32866666666668,-0.34923039631559816,4,10,0
2025-10-11,94.82,107.39,86.37,41.41,71.8,141.93714285714285,41.587607414663715,107.75533333333334,-0.11705000465592708,5,10,1
2025-10-12,85.21,94.82,97.03,51.29,76.89,140.24857142857144,43.891025820992716,107.22333333333334,-0.10134992617591221,6,10,1
2025-10-13,145.38,85.21,152.78,94.32,115.57,139.1914285714286,43.62721796790451,109.67599999999999,0.7061377772561908,0,10,0
2025-10-14,149.04,145.38,189.84,132.82,155.95,133.36285714285714,38.109307137183585,112.081,0.02517540239372673,1,10,0
